accuracy,activation,dataset,dropout_rate,epochs,input_dims,loss,lr_rate,model_name,test_accuracy,test_loss,val_accuracy,val_loss,opt
"[0.49962687, 0.9720895, 0.9841791, 0.9889055, 0.9922637, 0.9938557, 0.9952985, 0.99544775, 0.99606967, 0.9968657, 0.9979353, 0.99833333, 0.99778605, 0.9987313, 0.9997015]",softmax,mnist,0.2,15.0,"(224, 224, 3)","[1.402208507883395, 0.09357348736690645, 0.05318714958177741, 0.036394391440767886, 0.02598030406224138, 0.020295858618256574, 0.015280241396600168, 0.014681816043109813, 0.012765453655678475, 0.009865967919082794, 0.006651121318196665, 0.006338091569781302, 0.007215007874612312, 0.004350133762895147, 0.0010887614069786343]",0.01,VGG16,0.9951000213623048,0.0222429210348153,"[0.9598990082740784, 0.9691919088363647, 0.9855050444602966, 0.9880807995796204, 0.9857070446014404, 0.9910606145858765, 0.9862626194953918, 0.9859595894813538, 0.9881312847137451, 0.9880303144454956, 0.9874242544174194, 0.9925757646560669, 0.9930807948112488, 0.9924747347831726, 0.993686854839325]","[0.13910755535568853, 0.10930826361733254, 0.05217198177871078, 0.04105652957402094, 0.04895980666908953, 0.0327775348102053, 0.052314619418196005, 0.05737265644651471, 0.05329161445050491, 0.047909003679047935, 0.058878120895136485, 0.030555625362039516, 0.02851784069354486, 0.03426542985060187, 0.03472923846287721]",sgd
"[0.09793533, 0.0979602, 0.0979602, 0.0979602, 0.0979602, 0.0979602, 0.0979602, 0.0979602, 0.0979602, 0.0979602]",softmax,mnist,0.2,10.0,"(224, 224, 3)","[14.502014120680776, 14.539163346171971, 14.539163394757171, 14.539163391720596, 14.539163394757171, 14.539163379574296, 14.539163391720596, 14.539163392100168, 14.539163406903471, 14.539163409940047]",0.01,VGG16,0.0957999974489212,14.573981642150875,"[0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612, 0.10000000149011612]","[14.506285648923932, 14.506285648923932, 14.506285648923932, 14.506285648923932, 14.506285648923932, 14.506285648923932, 14.506285648923932, 14.506285648923932, 14.506285648923932, 14.506285648923932]",adam
"[0.10166667, 0.10189055, 0.10189055, 0.10189055, 0.10189055, 0.10189055, 0.10189055, 0.10189055, 0.10189055, 0.10189055]",softmax,mnist,0.2,10.0,"(224, 224, 3)","[14.440315297444661, 14.475813645699724, 14.475813717249022, 14.475813680810122, 14.475813669992323, 14.475813660882599, 14.47581367340847, 14.475813651772874, 14.47581368555477, 14.475813627480274]",0.01,VGG16,0.10100000351667404,14.490167530822756,"[0.10277777910232544, 0.10277777910232544, 0.10277777910232544, 0.10277777910232544, 0.10277777910232544, 0.10277777910232544, 0.10277777910232544, 0.10277777910232544, 0.10277777910232544, 0.10277777910232544]","[14.461513117395267, 14.461513117395267, 14.461513117395267, 14.461513117395267, 14.461513117395267, 14.461513117395267, 14.461513117395267, 14.461513117395267, 14.461513117395267, 14.461513117395267]",adagrad
"[0.17337313, 0.34779105, 0.4544776, 0.5358806, 0.60880595, 0.67086565, 0.7215224, 0.7611642, 0.7979702, 0.8252836]",softmax,cifar10,0.2,10.0,"(224, 224, 3)","[2.1972184184914205, 1.7556254367401352, 1.4833977386275334, 1.2790310704103156, 1.0919643105606534, 0.9307291315918538, 0.7909140189298943, 0.6825886130261777, 0.5823922911935778, 0.49825733570910213]",0.01,VGG16,0.7213000059127808,0.8661987609863281,"[0.27218180894851685, 0.4153939485549927, 0.49884849786758423, 0.5760605931282043, 0.6335757374763489, 0.6726666688919067, 0.7004242539405823, 0.7314545512199402, 0.7164848446846008, 0.7336969971656799]","[1.9494283359989975, 1.5875100228280732, 1.3605938968369455, 1.1757093726071444, 1.023965994199117, 0.929769761244456, 0.8464119095368818, 0.7822354628534028, 0.852187721526984, 0.8303864385575959]",sgd
"[0.09859701, 0.09877612, 0.09877612, 0.09877612, 0.09877612, 0.09877612, 0.09877612, 0.09877612, 0.09877612, 0.09877612]",softmax,cifar10,0.2,10.0,"(224, 224, 3)","[14.481889267651002, 14.5260122756958, 14.526012271482553, 14.52601229755914, 14.526012297673011, 14.52601230928791, 14.526012297445268, 14.526012301430773, 14.52601224050949, 14.526012313387287]",0.01,VGG16,0.10000000149011612,14.506285656738285,"[0.10248485207557678, 0.10248485207557678, 0.10248485207557678, 0.10248485207557678, 0.10248485207557678, 0.10248485207557678, 0.10248485207557678, 0.10248485207557678, 0.10248485207557678, 0.10248485207557678]","[14.466234543309067, 14.466234543309067, 14.466234543309067, 14.466234543309067, 14.466234543309067, 14.466234543309067, 14.466234543309067, 14.466234543309067, 14.466234543309067, 14.466234543309067]",adam
"[0.098656714, 0.098985076, 0.09877612, 0.098507464, 0.09901492, 0.09901492, 0.09859701, 0.09883582, 0.09877612, 0.098567165]",softmax,cifar10,0.2,10.0,"(224, 224, 3)","[14.480491255802894, 14.522644347916788, 14.526012302000131, 14.530342558675738, 14.522163183639298, 14.522163232376327, 14.52889912653681, 14.525050041768088, 14.526012308832424, 14.529380258816392]",0.01,VGG16,0.10000000149011612,14.506285656738285,"[0.10248485207557678, 0.10248485207557678, 0.10248485207557678, 0.10248485207557678, 0.10248485207557678, 0.10248485207557678, 0.10248485207557678, 0.10248485207557678, 0.10248485207557678, 0.10248485207557678]","[14.466234543309067, 14.466234543309067, 14.466234543309067, 14.466234543309067, 14.466234543309067, 14.466234543309067, 14.466234543309067, 14.466234543309067, 14.466234543309067, 14.466234543309067]",adagrad
"[0.2418806, 0.39480597, 0.45892537, 0.50698507, 0.55465674, 0.5947164, 0.6304776, 0.666, 0.6965672, 0.727194]",softmax,cifar10,0.2,10.0,"(224, 224, 3)","[2.0661486434367164, 1.6701118220001905, 1.4850660355411358, 1.3587587818743578, 1.2342432599850555, 1.1301826623945095, 1.0414407826466348, 0.9401225518326262, 0.8634337854598885, 0.7761270408488031]",0.001,VGG16,0.6646999716758728,0.989663927078247,"[0.3473333418369293, 0.44333332777023315, 0.48903030157089233, 0.5098181962966919, 0.5460000038146973, 0.597151517868042, 0.637515127658844, 0.5646666884422302, 0.6488484740257263, 0.6660606265068054]","[1.8317060830665357, 1.548381742217324, 1.4135282167665886, 1.3341739270759352, 1.2506400709152221, 1.1452974270907315, 1.0314325315013075, 1.3535290782523877, 1.0075272905609824, 0.9824964214093758]",sgd
"[0.14095522, 0.22316419, 0.2875821, 0.3331642, 0.3701194, 0.39901492, 0.41862687, 0.4382985, 0.45459703, 0.47265673]",softmax,cifar10,0.2,10.0,"(224, 224, 3)","[2.2810892792317405, 2.1597440903507064, 1.9708150561460809, 1.8612563582178372, 1.759464272669892, 1.6778522487611913, 1.622217575400623, 1.564502419400571, 1.5180163205701913, 1.4779080383528524]",0.0001,VGG16,0.4934999942779541,1.4205346519470214,"[0.1679999977350235, 0.2783636450767517, 0.32048484683036804, 0.3415151536464691, 0.40248483419418335, 0.4180000126361847, 0.4146060645580292, 0.46721211075782776, 0.4875151515007019, 0.49321213364601135]","[2.2472936481129038, 2.024544333082257, 1.897621872439529, 1.837915556416367, 1.6761453844417225, 1.6318020585667004, 1.6245439137256508, 1.4960811828266491, 1.4563515424728393, 1.4226557609962696]",sgd
"[0.10226866, 0.102298506, 0.10056716, 0.09844776, 0.097462684, 0.09919403, 0.10044776, 0.10226866, 0.10071642, 0.10355224]",softmax,cifar10,0.2,10.0,"(224, 224, 3)","[2.305934758058235, 2.3041678011310633, 2.3045946839176006, 2.3040239515446905, 2.3043113451431045, 2.304134007553556, 2.30419559219702, 2.304308243196402, 2.3041080645945535, 2.3040356443889105]",0.1,VGG16,0.10000000149011612,2.303476714324951,"[0.09587878733873367, 0.09587878733873367, 0.10254545509815216, 0.09781818091869354, 0.09781818091869354, 0.09587878733873367, 0.09587878733873367, 0.09781818091869354, 0.09690909087657928, 0.09587878733873367]","[2.3055437565427837, 2.303653088425145, 2.3031425113677977, 2.3055759350747773, 2.3028364992430714, 2.303607689886382, 2.30399553715099, 2.304053461190426, 2.3054019008983264, 2.3034493179321287]",sgd
"[0.0999403, 0.10002985, 0.1, 0.09904478, 0.1000597, 0.10050746, 0.09964179, 0.09955224, 0.1000597, 0.09889552]",softmax,cifar10,0.2,10.0,"(224, 224, 3)","[14.455120951524421, 14.505804502344843, 14.506285706477378, 14.521682069351424, 14.505323376328198, 14.498106338387105, 14.512059385043472, 14.513502747037517, 14.50532343485818, 14.524087709455348]",0.5,VGG16,0.10000000149011612,14.506285739135745,"[0.10072727501392365, 0.10072727501392365, 0.10072727501392365, 0.10072727501392365, 0.10072727501392365, 0.10072727501392365, 0.10072727501392365, 0.10072727501392365, 0.10072727501392365, 0.10072727501392365]","[14.49456346245968, 14.49456346245968, 14.49456346245968, 14.49456346245968, 14.49456346245968, 14.49456346245968, 14.49456346245968, 14.49456346245968, 14.49456346245968, 14.49456346245968]",sgd
